Sigla;Código;Título;Sub-título;Autores;Data;Tipo;Distribuição;Situação;Nome do arquivo;Projeto;Objeto;Indicador;Arq
#N/D;DPT01870020;Caracterização tecnológica de duas amostras de hipoclorito de sódio;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MAICCON MARTINS BARROS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01870020_PT hipoclorito.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01880020;Caracterização tecnológica de duas amostras de bolsa polimérica;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MAICCON MARTINS BARROS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01880020_PT polimero bolsa.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01890020;Caracterização tecnológica de duas amostras de embalagens plásticas;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MAICCON MARTINS BARROS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01890020_PT embalagens.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01900020;Caracterização tecnológica de duas amostras de hulha;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MAICCON MARTINS BARROS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01900020_PT hulha 2.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01910020;Caracterização tecnológica de duas amostras  de rubinate;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MICHELLE TEIXEIRA COSTA CASSIANO DOS SANTOS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01910020_PT rubinate.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01920020;Geração de filamento de impressora 3D constituído de poliácido lático reforçado com resíduos de rochas ornamentais, com fins de impressão de próteses médicas.;Bolsa de produtividade - Roberto Carlos;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, ;16/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01920020_Bolsaprodutividade.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01930020;Potencial de periculosidade dos resíduos de equipamentos eletroeletrônicos (REEE): aspectos técnicos e regulamentação no Brasil;;LUCIA HELENA DA SILVA MACIEL XAVIER, MARIANNA DE SOUZA OLIVEIRA OTTONI, Luciana Contador, ;23/12/2020;Proposta de Trabalho do Projeto;Pública;Concluído;DPT 0193-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;DRE00010020;Relatório final de estágio;;João Guilherme Morgado Henrique, FRANCISCO WILSON HOLLANDA VIDAL, KAYRONE MARVILA DE ALMEIDA, ;29/01/2020;Relatório de Estágio;Pública;Concluído;DRE00010020Relatório_final_de_estágio_João_Guilherme.pdf;PRJ02.24;09/00054;;SIM
#N/D;DRE00020020;Relatório final de estágio;;MARIA CAROLYNA SOPELETTI FERNANDES, MONICA CASTOLDI BORLINI GADIOLI, ;04/02/2020;Relatório de Estágio;Pública;Concluído;DRE00020020RELATÓRIO_ESTÁGIO_CETEM_REV_ok.pdf;PRJ05.15;13/00154;;SIM
#N/D;DRE00030020;Relatório final de estágio;;Sthefany Barroso Nascimento, FRANCISCO WILSON HOLLANDA VIDAL, MARIANE COSTALONGA DE AGUIAR, KAYRONE MARVILA DE ALMEIDA, ;12/03/2020;Relatório de Estágio;Reservada;Concluído;DRE00030020Relatório final de estágio Sthefany.pdf;PRJ02.24;09/00054;;SIM
#N/D;DRE00040020;Relatório Final de Estágio - Maurício Dias Montanaro;Relatório Final de Estágio elaborado para COROM;;09/09/2020;Relatório de Estágio;Pública;Concluído;DRE00040020Relatório Final de Estágio - Maurício.pdf;PRJ02.24;09/00054;;SIM
#N/D;DRE00050020;Normatização para uso dos resíduos de rochas ornamentais. Marcos Pedro Dalmaso Pinto;;;09/09/2020;Relatório de Estágio;Pública;Concluído;DRE00050020Relatório Estágio Marcos Pedro Final.pdf;PRJ02.24;09/00054;;SIM
#N/D;DRE00060020;Relatório final de estágio;;Marlucia Ribeiro Barbosa Bourguignon, FRANCISCO WILSON HOLLANDA VIDAL, Kayrone Marvila de Almeida, ;25/11/2020;Relatório de Estágio;Pública;Concluído;DRE00060020Relatoìrio final de estaìgio Marlucia Bourguignon.pdf;PRJ02.24;09/00054;;SIM
#N/D;DRI00010020;“Normatização da utilização de resíduos de rochas ornamentais em artefatos de cerâmica vermelha”;Relatório parcial de bolsista FAPES. Período 01 de março 2019 a 27 janeiro 2020.;FRANCISCO WILSON HOLLANDA VIDAL, KAYRONE MARVILA DE ALMEIDA, ;27/01/2020;Relatório de Trabalho;Reservada;Concluído;DRI00010020_RelatoìrioParcial_FAPES_março2019_ a _Janeiro 2020_Kayrone Marvila de Almeida.pdf;PRJ02.24;09/00054;;SIM
#N/D;DRI00020020;Normatização da utilização de resíduos de rochas ornamentais em artefatos de cerâmica vermelha à base de cimento Portland;RELATÓRIO PARCIAL DE ATIVIDADES DO PROJETO FAPES, Período 01 de janeiro 2019 a 30 janeiro 2020;FRANCISCO WILSON HOLLANDA VIDAL, KAYRONE MARVILA DE ALMEIDA, MARIANE COSTALONGA DE AGUIAR, MONICA CASTOLDI BORLINI GADIOLI, Geilma Lima Vieira, Janaína dos Santos Vazzoler, ;30/01/2020;Relatório de Trabalho;Reservada;Concluído;DRI00020020_Relatório Parcial FAPES Projeto de Normatização, Cerâmica e Concreto.pdf;PRJ02.24;09/00054;;SIM
#N/D;DRI00030020;DESENVOLVIMENTO DE NORMA PARA ROCHAS ARTIFICIAIS E VIDROS UTILIZANDO RESÍDUOS DO PROCESSAMENTO DE ROCHAS ORNAMENTAIS;01 DE JANEIRO A 31 DEZEMBRO DE 2019;MONICA CASTOLDI BORLINI GADIOLI, Michelle Pereira Babisk, MARIANE COSTALONGA DE AGUIAR, Ana Júlia Nali Giori, Vinícius Rodrigues Gomes, ;30/01/2020;Relatório de Trabalho;Reservada;Em preparação;;PRJ02.24;09/00054;;NÃO
#N/D;DRI00040020;DESENVOLVIMENTO DE NORMA PARA ROCHAS ARTIFICIAIS E VIDROS UTILIZANDO RESÍDUOS DO PROCESSAMENTO DE ROCHAS ORNAMENTAIS;01 DE JANEIRO A DEZEMBRO DE 2019;;30/01/2020;Relatório de Trabalho;Reservada;Em preparação;;PRJ02.24;09/00054;;NÃO
#N/D;DRI00050020;RELATÓRIO TÉCNICO DE CARACTERIZAÇÃO DE ARGILAS: CERÂMICA SANTA MARIA;;;31/01/2020;Relatório de Trabalho;Reservada;Em preparação;;PRJ02.24;09/00054;;NÃO
#N/D;DRI00060020;Painel de gestão 2017-2019;;ANDREA CAMARDELLA DE LIMA RIZZO, MIRIAM ELIZABETH HENDRISCHKY DOS SANTOS, ALEXANDRE CAMPOS DA CUNHA, ;12/03/2020;Relatório de Trabalho;Pública;Concluído;DRI 0006-00-20.pdf;PRJ01.13;07/00175;;SIM
#N/D;DRI00070020;Iniciativas de estímulo à inovação para o setor produtivo;;ALEXANDRE CAMPOS DA CUNHA, ANDREA CAMARDELLA DE LIMA RIZZO, MIRIAM ELIZABETH HENDRISCHKY DOS SANTOS, ;12/03/2020;Relatório de Trabalho;Pública;Concluído;DRI 0007-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;DRI00080020;Painel de Gestão COAMI;;ALEXANDRE CAMPOS DA CUNHA, ANDREA CAMARDELLA DE LIMA RIZZO, MIRIAM ELIZABETH HENDRISCHKY DOS SANTOS, ;12/03/2020;Relatório de Trabalho;Pública;Concluído;DRI 0008-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;DRI00090020;Relatório parcial do coordenador dos projetos CETEM Desafios com apoio da FAPES pela Resolução Nº 247;;LEONARDO LUIZ LYRIO DA SILVEIRA, ;06/10/2020;Relatório de Trabalho;Reservada;Concluído;DRI00090020.pdf;PRJ05.15;11/00216;;SIM
#N/D;DRI00100020;Beneficiamento, caracterizações mineralógica e tecnológica e aplicações de argilominerais brasileiros;Relatório de trabalho elaborado para o CNPq para Bolsa de Produtividade em Pesquisa 2020;LUIZ CARLOS BERTOLINO, ;13/10/2020;Relatório de Trabalho;Interna;Concluído;DRI-0010-00-20 - Bertolino.pdf;PRJ01.14;07/00176;;SIM
#N/D;DRI00110020;Analise gráfica dos relatórios de bolsa dos meses de abril a junho de 2020;;ALEXANDRE CAMPOS DA CUNHA, ;04/11/2020;Relatório de Trabalho;Pública;Concluído;DRI 0011-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;DRI00120020;Relatório da Primeira Reunião ISO TC328  Engineered Stones;;NURIA FERNANDEZ CASTRO, MONICA CASTOLDI BORLINI GADIOLI, ABILIANE DE ANDRADE PAZETO, ;17/12/2020;Relatório de Trabalho;Interna;Concluído;DRI_00120020_1aReuniaoTC328_ISO.pdf;PRJ01.23;07/00233;;SIM
#N/D;DRV00010020;Relatório de viagem, Número da PCDP: 004520/19;;LEONARDO LUIZ LYRIO DA SILVEIRA, ;06/01/2020;Relatório de Viagem;Pública;Concluído;DRV0010020RELAT_VIAGEM_LYRIO.pdf;PRJ05.15;11/00216;;SIM
#N/D;DRV00020020;Relatório de viagem à Fortaleza - CE;;FRANCISCO WILSON HOLLANDA VIDAL, Geilma Lima Vieira, NURIA FERNANDEZ CASTRO, LEONARDO CATTABRIGA FREIRE, ;28/01/2020;Relatório de Viagem;Pública;Concluído;DRV00020020_Relatorio_fapes_OCS_BRITA (1).pdf;PRJ02.24;09/00054;;SIM
#N/D;DRV00030020;Relatório de viagem à Campo São Roque do Canaã/Santa Tereza - ES;;MARIANE COSTALONGA DE AGUIAR, KAYRONE MARVILA DE ALMEIDA, ;28/01/2020;Relatório de Viagem;Pública;Concluído;DRV00030020_São Roque Canaã (2).pdf;PRJ02.24;09/00054;;SIM
#N/D;DRV00040020;Relatório de viagem à Campo dos Goytacazes - RJ, ensaios laboratoriais na UENF;;FRANCISCO WILSON HOLLANDA VIDAL, MARIANE COSTALONGA DE AGUIAR, KAYRONE MARVILA DE ALMEIDA, João Guilherme Morgado Henrique, ;28/01/2020;Relatório de Viagem;Pública;Concluído;DRV00040020_Relatório Experimento Campos.pdf;PRJ02.24;09/00054;;SIM
#N/D;DRV00050020;Relatório de viagem à Campos dos Goytacazes - RJ;;FRANCISCO WILSON HOLLANDA VIDAL, MARIANE COSTALONGA DE AGUIAR, MARIA ANGELICA KRAMER SANT ANA, KAYRONE MARVILA DE ALMEIDA, ;28/01/2020;Relatório de Viagem;Pública;Concluído;DRV00050020Relatório Campos dos Goytacazes (3).pdf;PRJ02.24;09/00054;;SIM
#N/D;DRV00060020;Relatório de viagem ao Ceará;;MONICA CASTOLDI BORLINI GADIOLI, MARIANE COSTALONGA DE AGUIAR, Carlos Maurício Fontes Vieira, ;28/01/2020;Relatório de Viagem;Pública;Concluído;DRV00060020Relatório Fortaleza - Ceara.pdf;PRJ02.24;09/00054;;SIM
